Pattern Name,Event Type,Output Fields,Corpus Hits,Example Input Line
player_login,player_login,"handle, geid",4599,"<ts> [Notice] <Expect Incoming Connection> ... nickname=""Mallachi"" playerGEID=201990621533 ..."
ship_boarded,ship_boarded,"ship, owner, raw",330,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""You have joined channel '@vehicle_NameRSI_Hermes : Mallachi'."
ship_exited,ship_exited,"ship, owner, raw",150,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""You have left the channel '@vehicle_NameRSI_Hermes : Mallachi'."
contract_accepted,contract_accepted,name,570,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Contract Accepted:  Alliance Aid: Treatment Cargo Haul - Medium Scale: """
contract_completed,contract_completed,name,279,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Contract Complete: Alliance Aid: Small Supply of Research Resource: """
contract_failed,contract_failed,name,12,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Contract Failed: Bounty Assignment: Masakazu Laroche (HRT): """
qt_target_selected,qt_target_selected,destination,392,"<ts> [Notice] <Player Selected Quantum Target - Local> ... Player has selected point LOC_RR_S2_L1 as their destination ..."
qt_arrived,qt_arrived,(none),239,"<ts> [Notice] <Quantum Drive Arrived - Arrived at Final Destination> ... Quantum Drive has arrived at final destination ..."
location_change,location_change,"player, location",1260,"<ts> [Notice] <RequestLocationInventory> Player[Amiscus] requested inventory for Location[RR_CRU_L1]"
jurisdiction_entered,jurisdiction_entered,jurisdiction,660,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Entered UEE Jurisdiction: """
armistice_entered,armistice_entered,(none),774,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Entering Armistice Zone - Combat Prohibited: """
armistice_exited,armistice_exited,(none),635,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Leaving Armistice Zone - Caution Advised: """
armistice_exiting,armistice_exiting,(none),9,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Exiting Armistice Zone: You have left the confines of the Armistice Zone..."""
monitored_space_entered,monitored_space_entered,(none),403,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Entered Monitored Space: """
monitored_space_exited,monitored_space_exited,(none),157,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Exited Monitored Space: """
monitored_space_down,monitored_space_down,(none),3,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Monitored Space Down: """
monitored_space_restored,monitored_space_restored,(none),3,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Monitored Space Restored: """
crimestat_increased,crimestat_increased,(none),8,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""CrimeStat Rating Increased: """
crime_committed,crime_committed,crime,13,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Crime Committed: Trespassing (Second Degree)"
fined,fined,"amount, currency (UEC)",2,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Fined 2000 UEC: """
money_sent (2-line),money_sent,"recipient, amount, currency (aUEC)",2,"Line 1: Added notification ""You sent Pling_apple:  |  Line 2: <ts> 7035000 aUEC"
injury,injury,"severity, body_part, tier",55,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Minor Injury Detected - Left arm - Tier 3 Treatment Required: """
incapacitated,incapacitated,(none),4,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Incapacitated: While incapacitated..."
insurance_claim,insurance_claim,request_id,752,"<ts> [Notice] <CWallet::ProcessClaimToNextStep> New Insurance Claim Request - entitlementURN: urn:... requestId : 1"
insurance_claim_complete,insurance_claim_complete,result,747,"<ts> [Notice] <CWallet::RmMulticastOnProcessClaimCallback> Claim Complete - entitlementURN: urn:... result: 11"
blueprint_received,blueprint_received,name,3,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Received Blueprint: Geist Armor Core Desert: """
refinery_complete,refinery_complete,location,9,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""A Refinery Work Order has been Completed at CRU-L1 Ambitious Dream Station: """
transaction_complete,transaction_complete,(none),73,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Transaction Complete: """
vehicle_impounded,vehicle_impounded,reason,3,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Vehicle Impounded: Trespassing (Second Degree): """
fatal_collision,fatal_collision,"vehicle, zone",2,"<ts> [Notice] <FatalCollision> Fatal Collision occured for vehicle ANVL_Terrapin_Medic_9389812570252 ... Zone: glaciemring_segment"
server_joined,server_joined,shard,279,"<ts> [Notice] <Join PU> address[...] port[...] shard[pub_euw1b_11173070_020] ..."
rewards_earned,rewards_earned,count,7,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""You've earned: 30 rewards"
mission_ended,mission_ended,"mission_id, state",297,"<ts> [Notice] <MissionEnded> Received MissionEnded push message for: mission_id 72384f29-... - mission_state MISSION_STATE_COMPLETED"
end_mission,end_mission,"mission_id, player, completion_type, reason",343,"<ts> [Notice] <EndMission> Ending mission for player. MissionId[72384f29-...] ... Player[Mallachi] ... CompletionType[Complete] ... Reason[Mission Ended]"
new_objective,new_objective,name,525,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""New Objective: Deliver 0/296 SCU of Molina Mold Treatment to ARC-L4 Faint Glen Station: """
objective_complete,objective_complete,description,287,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Objective Complete: Deliver 296/296 SCU of Molina Mold Treatment to ARC-L4 Faint Glen Station"
objective_withdrawn,objective_withdrawn,description,22,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Objective Withdrawn: Go to an asteroid cluster in the Glaciem Ring to find the Target.: """
contract_available,contract_available,name,90,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Contract Available: Alliance Aid: Molina Mold Samples: """
contract_shared,contract_shared,name,288,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Contract Shared: Alliance Aid: Treatment Cargo Haul - Medium Scale: """
hangar_ready,hangar_ready,(none),372,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Hangar Request Completed: """
ship_list_fetched,ship_list_fetched,count,1403,"<ts> [Notice] <CEntityComponentShipListProvider::FetchShipData::<lambda_1>::operator ()> Received 12 player insured entitlements results for player 201990621533"
ships_loaded,ships_loaded,count,317,"<ts> [Notice] <CEntityComponentShipListProvider::FetchOwnedShipsData::<lambda_1>::()::<lambda_2>::operator ()> Fetching vehicle list for player ... completed. Retrieved 12 vehicles."
qt_fuel_requested,qt_fuel_requested,destination,59,"<ts> [Notice] <Player Requested Fuel to Quantum Target - Local> ... Player has requested fuel calculation to destination LOC_RR_S2_L1 ..."
emergency_services,emergency_services,(none),11,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Standby, Local Emergency Services Are En Route: """
entitlement_reconciliation,entitlement_reconciliation,"details, status, phase",210,"<ts> [Notice] <ReconcileAccountUpdateNotification> Received an entitlement status update message ... details ReconcileAccount started ... status RECONCILE_ACCOUNT_STATUS_EXECUTING - phase RECONCILE_ACCOUNT_PHASE_UNSPECIFIED"
private_property_entered,private_property_entered,(none),34,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Entering Private Property: """
private_property_exited,private_property_exited,(none),27,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Leaving Private Property: """
restricted_area_warning,restricted_area_warning,(none),18,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Restricted Area - Vehicles Will Be Impounded: """
restricted_area_exited,restricted_area_exited,(none),20,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Leaving Restricted Area: """
journal_entry_added,journal_entry_added,entry,10,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Journal Entry Added: Criminal Record: """
low_fuel,low_fuel,(none),6,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Low Fuel: To refuel, park at a pad or hangar..."""
party_member_joined (2-line),party_member_joined,player,64,"Line 1: Added notification ""New Member Joined  |  Line 2: <ts> PlayerName has joined the party/channel/group"
party_member_left (2-line),party_member_left,player,32,"Line 1: Added notification ""Member Left  |  Line 2: <ts> PlayerName has left the party."
party_disbanded,party_disbanded,(none),2,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Party Disbanded"
player_spawned,player_spawned,(none),657,"<ts> [CSessionManager::OnClientSpawned] Spawned!"
actor_death,actor_death,"actor, zone",4,"<ts> [Notice] <[ActorState] Dead> [ACTOR STATE] ... Actor 'Mallachi' [201990621533] ejected from zone 'RSI_Hermes_9420522176453' ..."
med_bed_heal,med_bed_heal,"actor, bed_name, vehicle, head, torso, left_arm, right_arm, left_leg, right_leg",21,"<ts> [Notice] <MED BED HEAL> Actor: Mallachi ... med bed name: bed_hospital_1_a-003, vehicle name: none, head: false torso: false leftArm: true rightArm: false leftLeg: false rightLeg: false"
